"i","e","h","m","f","c","dprime","beta","aprime","bppd","c"
"20321578","Read",36,12,34,14,0.122343684182531,0.929524821227716,0.549603174603175,-0.0484581497797357,-0.597348108457072
"M20327473","Read",36,12,3,45,2.12375374323386,2.35521206201408,0.9125,0.523809523809524,0.403356921068593
"M20322809","Read",35,13,12,36,1.25475171515892,1.03985169712806,0.824007936507936,0.0259301014656144,0.0311440929688761
"m20335829","Read",41,7,8,40,1.96393583399694,0.921866720353529,0.907469512195122,-0.0543657331136737,-0.0414242763930533
"M20320940","Read",23,25,19,29,0.207455055839366,1.03265787243536,0.577961019490255,0.0213143872113676,0.154905539031735
"M20335574","Read",42,6,13,35,1.71016897996727,0.642311493037119,0.879761904761905,-0.287128712871287,-0.258852725373052
"M20311413","Read",23,25,2,46,1.58386125568966,3.80139120982936,0.842391304347826,0.724137931034483,0.843108638956881
"M20324255","Read",40,8,1,47,2.81241437147266,3.70483545663459,0.951196808510638,0.743869209809264,0.465663545130915
"M20323930","Read",41,7,9,39,1.88708784675856,0.860122291930542,0.900250156347717,-0.100313479623824,-0.0798482700122423
"20302746","Read",37,11,5,43,1.93815129600877,1.60963927432945,0.902262727844123,0.308681672025723,0.245600073462492
"M20304792_AEM","Read",28,20,6,42,1.32000918494002,1.82065300656711,0.827380952380952,0.379310344827586,0.45393262288668
"M20316111_ARD","Read",33,15,4,44,1.80752509425732,2.15886741999631,0.884469696969697,0.475409836065574,0.425766560050071
"M20301992","Read",39,9,1,47,2.73556638423428,3.97078943761755,0.945717403164212,0.763819095477387,0.504087538750104
"M20317208","Read",42,6,8,40,2.0544808559621,0.836844599059354,0.914880952380952,-0.118881118881119,-0.0866967873756364
"M2033128","Read",26,22,10,38,0.894129115434826,1.36082847973549,0.759109311740891,0.201680672268908,0.344574050025962
"m20319677","Read",37,11,6,42,1.83741278989858,1.43149536315414,0.893983268983269,0.235204855842185,0.195230820407397
"20327605","Read",42,6,12,36,1.77245716590503,0.667908696119509,0.886904761904762,-0.263157894736842,-0.227708632404175
"20322440","Read",29,19,0,48,2.57739103792925,14.2231900168254,0.901041666666667,1,1.03006245201321
"M20321393","Read",29,19,21,27,0.412707533747169,0.978655037156274,0.643039591315453,-0.0143112701252236,-0.0522793000778335
"M20320375","Read",30,18,26,22,0.209428547128874,0.957533476346642,0.578787878787879,-0.0287769784172662,-0.207204781255888
"M20331846","Read",43,5,1,47,3.08654645233412,2.75724353749355,0.967590301830777,0.641221374045801,0.328597504700183
"M20312217","Read",28,20,9,39,1.06976762295036,1.42155630728408,0.791437728937729,0.229418221734358,0.328811841891855
"M20316458","Read",35,13,7,41,1.61962395800211,1.41328902829798,0.870731707317073,0.226415094339623,0.213580214390468
"20320535","Read",25,23,0,48,2.36993598208988,14.6876891420187,0.880208333333333,1,1.13378997993289
"M20319575","Read",37,11,6,42,1.83741278989858,1.43149536315414,0.893983268983269,0.235204855842185,0.195230820407397
"M20321578","Read",40,8,25,23,0.889365629493364,0.643391692888631,0.75679347826087,-0.284916201117319,-0.495860825858733
"M20320646","Read",46,2,30,18,1.32312021198139,0.275813613827076,0.809178743961353,-0.708860759493671,-0.973479160811018
"M20330179","Read",46,2,6,42,2.7489764821584,0.488581667116764,0.955486542443064,-0.465116279069768,-0.260551025722511
"M20317061","Read",35,13,7,41,1.61962395800211,1.41328902829798,0.870731707317073,0.226415094339623,0.213580214390468
"m20322960","Read",34,14,16,32,0.957567543433612,0.946525667743439,0.772977941176471,-0.0364372469635628,-0.0573924946490006
"M20316492!","Read",31,17,2,46,2.00114562360228,3.55964125865955,0.891479663394109,0.702746365105008,0.634466455000571
"M20334868","Read",31,17,1,47,2.23797708766781,5.39209010476011,0.901509951956074,0.836236933797909,0.752882187033338
"M20316526","Read",39,9,6,42,1.97763286872373,1.28074631812898,0.907967032967033,0.164179104477612,0.125120780994825
"M20331128","Read",37,11,23,25,0.774653585653946,0.770744106210745,0.734594594594595,-0.171079429735234,-0.336148781714922
"M20329777","Read",35,13,3,45,2.06146555729611,2.44907125978183,0.906349206349206,0.542372881355932,0.434501014037469
"M20316465","Read",33,15,13,35,1.07422775168918,1.06556596094239,0.794372294372294,0.0421052631578947,0.0591178887659972
"20328171","Item_JOL",45,3,0,48,3.78399176366335,5.02720533533827,0.984375,1,0.426762089146155
"M20276452_TBT","Item_JOL",47,1,0,48,4.19062870184508,2.55070361216245,0.994791666666667,1,0.223443620055294
"M20322694_ALB","Item_JOL",48,0,4,44,3.64828707815656,0.164557464654893,0.979166666666667,-1,-0.494614431899549
"M20324618","Item_JOL",46,2,1,47,3.50690999766896,1.51478469681257,0.983926919518964,0.323741007194244,0.118415732032767
"M40324880","Item_JOL",44,4,4,44,2.65905821435747,1,0.954545454545455,2.72509287862538e-16,0
"M20323332_DKV","Item_JOL",45,3,6,42,2.57917100804221,0.635700986164896,0.948809523809524,-0.302325581395349,-0.175648288664417
"M20320387_egh","Item_JOL",43,5,9,39,2.07837137483392,0.694381704396765,0.915623136553369,-0.240282685512368,-0.17549003404992
"M20276467","Item_JOL",44,4,5,43,2.54420482864561,0.864066738733091,0.948335095137421,-0.0997442455242964,-0.0574266928559271
"M20331432_JB","Item_JOL",44,4,0,48,3.64828707815656,6.07690451537512,0.979166666666667,1,0.49461443189955
"M20243667","Item_JOL",37,11,0,48,3.04223354551973,11.3204498400665,0.942708333333333,1,0.797641198217969
"M20309742","Item_JOL",40,8,1,47,2.81241437147266,3.70483545663459,0.951196808510638,0.743869209809264,0.465663545130915
"M20324775","Item_JOL",45,3,0,48,3.78399176366335,5.02720533533827,0.984375,1,0.426762089146155
"M20291305","Item_JOL",44,4,5,43,2.54420482864561,0.864066738733091,0.948335095137421,-0.0997442455242964,-0.0574266928559271
"M20330003_MKG","Item_JOL",37,11,11,37,1.44695114908379,1,0.851351351351351,-7.85612361405516e-17,0
"M20325842","Item_JOL",30,18,26,22,0.209428547128874,0.957533476346642,0.578787878787879,-0.0287769784172662,-0.207204781255888
"M20323585","Item_JOL",48,0,11,37,3.04223354551973,0.0883357122842154,0.942708333333333,-1,-0.797641198217968
"M20316577","Item_JOL",46,2,7,41,2.65843146019323,0.443520652496579,0.949761399787911,-0.514511873350924,-0.305823536705095
"m20321377","Item_JOL",48,0,21,27,2.47283243777358,0.0688070001173135,0.890625,-1,-1.08234175209104
"M20316163_AFH","Item_JOL",46,2,0,48,3.95379723777954,3.86376679780822,0.989583333333333,1,0.341859352088061
"M20304204","Item_JOL",46,2,2,46,3.27007853360342,1,0.978260869565217,-3.47548077273962e-16,-1.11022302462516e-16
"M20333217","Item_JOL",46,2,1,47,3.50690999766896,1.51478469681257,0.983926919518964,0.323741007194244,0.118415732032767
"M20331086","Item_JOL",38,10,20,28,0.997710577326702,0.74668414521059,0.779135338345865,-0.191489361702128,-0.292783319080024
"20306662","Item_JOL",41,7,0,48,3.34215016436935,8.7115825972456,0.963541666666667,1,0.647682888793155
"20308360_AC","Item_JOL",47,1,2,46,3.50690999766896,0.660159824762038,0.983926919518964,-0.323741007194244,-0.118415732032767
"M20332037","Item_JOL",47,1,2,46,3.50690999766896,0.660159824762038,0.983926919518964,-0.323741007194244,-0.118415732032767
"M20322886","Item_JOL",42,6,6,42,2.22787443071338,1,0.928571428571429,0,0
"M20312469","Item_JOL",46,2,2,46,3.27007853360342,1,0.978260869565217,-3.47548077273962e-16,-1.11022302462516e-16
"M20283523","Item_JOL",38,10,6,42,1.90557582310006,1.35945273393366,0.901002506265664,0.20253164556962,0.161149303806657
"M20324107","Item_JOL",44,4,7,41,2.35292130057025,0.697566079129697,0.935837028824834,-0.239740820734341,-0.153068456893605
"M20302138_ASE","Item_JOL",47,1,2,46,3.50690999766896,0.660159824762038,0.983926919518964,-0.323741007194244,-0.118415732032767
"20322866","Item_JOL",46,2,0,48,3.95379723777954,3.86376679780822,0.989583333333333,1,0.341859352088061
"20328463","Item_JOL",44,4,5,43,2.54420482864561,0.864066738733091,0.948335095137421,-0.0997442455242964,-0.0574266928559271
"M20319728","Item_JOL",46,2,1,47,3.50690999766896,1.51478469681257,0.983926919518964,0.323741007194244,0.118415732032767
"M20312669","Item_JOL",26,22,5,43,1.31716622915833,2.08020490748927,0.824016100178891,0.453621346886912,0.556092606887713
"m20301357","Item_JOL",39,9,9,39,1.72739130673407,1,0.884615384615385,0,0
"M20322521","Item_JOL",44,4,6,42,2.44346632253542,0.768437717492581,0.942099567099567,-0.177570093457944,-0.107795945911022
"M20319612SMW","Item_JOL",26,22,13,35,0.698722272302036,1.18826469870767,0.717857142857143,0.113924050632911,0.246870628459567
"M10356731","Global_JOL",41,7,0,48,3.34215016436935,8.7115825972456,0.963541666666667,1,0.647682888793155
"20322965","Global_JOL",45,3,10,38,2.2568724004289,0.467615364842776,0.924707602339181,-0.475728155339806,-0.336797592471074
"M20295968","Global_JOL",47,1,1,47,3.74374146173449,1,0.98936170212766,9.35421952662897e-16,2.22044604925031e-16
"M20308397","Global_JOL",35,13,4,44,1.92576087178932,2.02602888899248,0.897564935064935,0.442155309033281,0.366648671284074
"20322939","Global_JOL",38,10,21,27,0.945713074539125,0.739725304395593,0.769249512670565,-0.197465681098205,-0.318782070473812
"m20320237","Global_JOL",37,11,4,44,2.05300468172063,1.86286452443422,0.910472972972973,0.39622641509434,0.303026766318419
"M20302792","Global_JOL",34,14,4,44,1.86570537354454,2.09610598199784,0.891042780748663,0.460122699386503,0.396676420406463
"M20337010","Global_JOL",36,12,10,38,1.45015855829171,1.10133334766082,0.851608187134503,0.0640394088669951,0.0665593285975187
"M20315390_JKL","Global_JOL",37,11,4,44,2.05300468172063,1.86286452443422,0.910472972972973,0.39622641509434,0.303026766318419
"M20322859","Global_JOL",25,23,2,46,1.68621727791376,3.80139120982936,0.855,0.724137931034483,0.79193062784483
"M20326354_SNC.","Global_JOL",25,23,5,43,1.26585373257893,2.08842242367965,0.816279069767442,0.455696202531646,0.581748855177413
"M20321343!","Global_JOL",29,19,10,38,1.05027167469479,1.3229979173903,0.788793103448276,0.183673469387755,0.266502770395978
"M20315108","Global_JOL",31,17,9,39,1.22980201016761,1.35793906714815,0.818444995864351,0.200455580865604,0.248794648283234
"M20322696_MNC","Global_JOL",47,1,1,47,3.74374146173449,1,0.98936170212766,9.35421952662897e-16,2.22044604925031e-16
"M20316174","Global_JOL",42,6,9,39,1.97763286872373,0.780794749002973,0.907967032967033,-0.164179104477612,-0.125120780994825
"M20301881_GM","Global_JOL",31,17,8,40,1.30664999740599,1.45541959093055,0.829233870967742,0.244391971664699,0.287218641902423
"m20327174","Global_JOL",40,8,12,36,1.59906359115375,0.798127510018305,0.869444444444444,-0.148936170212766,-0.141011845028539
"M20321748","Global_JOL",41,7,11,37,1.74686776793342,0.769543853850464,0.885629531970995,-0.172910662824207,-0.149958309424814
"M20330660_MLM","Global_JOL",45,3,1,47,3.33710452355277,1.97090924691022,0.978486997635934,0.483516483516484,0.203318469090861
"M20317351","Global_JOL",45,3,1,47,3.33710452355277,1.97090924691022,0.978486997635934,0.483516483516484,0.203318469090861
"M20326622","Global_JOL",30,18,5,43,1.5265947762872,1.99186583658155,0.853682170542636,0.43046357615894,0.451378333323277
"M20308203_KDL","Global_JOL",37,11,8,40,1.66401921514731,1.19793916323405,0.877195945945946,0.119669876203576,0.10853403303176
"M20319485","Global_JOL",30,18,0,48,2.63067702579816,14.0086152535989,0.90625,1,1.00341945807875
"M20307961","Global_JOL",29,19,1,47,2.13050379781866,5.57618295948041,0.890315480557593,0.842809364548495,0.806618831957914
"M20327498","Global_JOL",39,9,8,40,1.80423929397245,1.07178563909139,0.892467948717949,0.0461997019374068,0.0384239936191889
"M20317313","Global_JOL",31,17,1,47,2.23797708766781,5.39209010476011,0.901509951956074,0.836236933797909,0.752882187033338
"M20316548","Global_JOL",35,13,4,44,1.92576087178932,2.02602888899248,0.897564935064935,0.442155309033281,0.366648671284074
"M20293123","Global_JOL",47,1,7,41,2.89526292425877,0.292794516230487,0.956668396471199,-0.718562874251497,-0.424239268737861
"M20324037_AP.","Global_JOL",33,15,4,44,1.80752509425732,2.15886741999631,0.884469696969697,0.475409836065574,0.425766560050071
"M20333212_HDW","Global_JOL",33,15,4,44,1.80752509425732,2.15886741999631,0.884469696969697,0.475409836065574,0.425766560050071
"20335770","Global_JOL",26,22,25,23,0.0513124965794,0.996065204004132,0.520484949832776,-0.00261551874455097,-0.0768342594017515
"m20310291","Global_JOL",40,8,9,39,1.80423929397245,0.933022391350338,0.892467948717949,-0.0461997019374069,-0.0384239936191889
"m20280673","Global_JOL",43,5,1,47,3.08654645233412,2.75724353749355,0.967590301830777,0.641221374045801,0.328597504700183
"m20326074","Global_JOL",29,19,6,42,1.37257028230811,1.79855313578477,0.835180623973727,0.372353673723537,0.427652074202635
"M20321413","Global_JOL",46,2,2,46,3.27007853360342,1,0.978260869565217,-3.47548077273962e-16,-1.11022302462516e-16
"M20321533","Global_JOL",32,16,17,31,0.787497633868375,0.978466849173832,0.738155241935484,-0.0144369586140519,-0.0276424601336177
"M20316100","Global_JOL",43,5,5,43,2.42935144293376,1,0.941860465116279,-1.48718247019556e-16,0
"M20277243_SKS","Global_JOL",36,12,4,44,1.98804905772707,1.94838253819089,0.904040404040404,0.421052631578947,0.335504578315198
"M20293288","Global_JOL",26,22,17,31,0.468596864492021,1.06371210910845,0.659119106699752,0.0409463148316652,0.131807924554559
"M20329016","Global_JOL",33,15,7,41,1.50138818047011,1.50595268152767,0.855506282335551,0.265984654731458,0.272698103156466
